Sliding Window Attack Statistics
======================================================================
Attack: MIFGSM
Window size: 5
Epsilon: 0.03
Number of windows: 193

Window | Frames      | Target Value | Perturbation Norm
   161 | [161, 165] |     0.000000 |          0.000000
   162 | [162, 166] |     0.000000 |          0.000000
   163 | [163, 167] |     0.000000 |          0.000000
   164 | [164, 168] |     0.000000 |          0.000000
   165 | [165, 169] |     0.000000 |          0.000000
   166 | [166, 170] |     0.000000 |          0.000000
   167 | [167, 171] |     0.000000 |          0.000000
   168 | [168, 172] |     0.000000 |          0.000000
   169 | [169, 173] |     0.000000 |          0.000000
   170 | [170, 174] |     0.000000 |          0.000000
   171 | [171, 175] |     0.000000 |          0.000000
   172 | [172, 176] |     0.000000 |          0.000000
   173 | [173, 177] |     0.000000 |          0.000000
   174 | [174, 178] |     0.000000 |          0.000000
   175 | [175, 179] |     0.000000 |          0.000000
   176 | [176, 180] |     0.000000 |          0.000000
   177 | [177, 181] |     0.000000 |          0.000000
   178 | [178, 182] |     0.000000 |          0.000000
   179 | [179, 183] |     0.000000 |          0.000000
   180 | [180, 184] |     0.000000 |          0.000000
   181 | [181, 185] |     0.000000 |          0.000000
   182 | [182, 186] |     0.000000 |          0.000000
   183 | [183, 187] |     0.008826 |          0.000000
   184 | [184, 188] |     0.000000 |          0.000000
   185 | [185, 189] |     0.000000 |          0.000000
   186 | [186, 190] |     0.000000 |          0.000000
   187 | [187, 191] |     0.000000 |          0.000000
   188 | [188, 192] |     0.000000 |          0.000000
   189 | [189, 193] |     0.000000 |          0.000000
   190 | [190, 194] |     0.000000 |          0.000000
   191 | [191, 195] |     0.000000 |          0.000000
   192 | [192, 196] |     0.000000 |          0.000000
